,Right Mass,,Left Mass,
t,x,y,x,y
14.315,0.118,3.80E-03,5.11E-02,3.06E-04
14.365,0.117,3.59E-03,4.64E-02,2.42E-04
14.416,0.113,3.20E-03,4.03E-02,-8.01E-05
14.466,0.106,2.21E-03,3.36E-02,-6.66E-04
14.517,9.61E-02,1.08E-03,2.61E-02,-1.07E-03
14.567,8.44E-02,5.54E-04,1.80E-02,-1.27E-03
14.618,7.03E-02,-6.82E-04,9.63E-03,-1.58E-03
14.668,5.47E-02,-1.52E-03,1.16E-03,-1.88E-03
14.718,3.69E-02,-2.58E-03,-7.73E-03,-1.94E-03
14.769,1.88E-02,-3.00E-03,-1.58E-02,-2.01E-03
14.819,1.06E-03,-2.86E-03,-2.41E-02,-1.95E-03
14.87,-1.80E-02,-3.12E-03,-3.15E-02,-2.05E-03
14.92,-3.58E-02,-2.35E-03,-3.79E-02,-1.73E-03
14.97,-5.34E-02,-1.77E-03,-4.35E-02,-1.67E-03
15.021,-6.94E-02,-1.10E-03,-4.80E-02,-1.74E-03
15.071,-8.32E-02,1.09E-04,-5.12E-02,-1.44E-03
15.122,-9.55E-02,9.56E-04,-5.33E-02,-1.52E-03
15.172,-0.106,1.63E-03,-5.41E-02,-1.72E-03
15.222,-0.114,2.72E-03,-5.38E-02,-1.76E-03
15.273,-0.118,3.49E-03,-5.26E-02,-1.91E-03
15.323,-0.12,3.53E-03,-4.93E-02,-1.88E-03
15.374,-0.12,3.33E-03,-4.51E-02,-2.07E-03
15.424,-0.117,2.95E-03,-3.98E-02,-1.97E-03
15.474,-0.11,2.55E-03,-3.41E-02,-2.12E-03
15.525,-0.101,1.55E-03,-2.71E-02,-2.04E-03
15.575,-9.00E-02,5.45E-04,-1.97E-02,-2.05E-03
15.626,-7.62E-02,-5.79E-04,-1.19E-02,-2.03E-03
15.676,-6.11E-02,-1.15E-03,-4.00E-03,-1.84E-03
15.726,-4.46E-02,-1.98E-03,3.69E-03,-1.66E-03
15.777,-2.61E-02,-2.83E-03,1.17E-02,-1.56E-03
15.827,-7.64E-03,-3.30E-03,1.96E-02,-1.52E-03
15.878,1.09E-02,-2.74E-03,2.60E-02,-9.20E-04
15.928,2.99E-02,-2.81E-03,3.22E-02,-7.97E-04
15.978,4.79E-02,-1.42E-03,3.81E-02,-1.53E-04
16.029,6.42E-02,-9.10E-04,4.25E-02,-1.05E-04
16.079,7.93E-02,1.90E-04,4.58E-02,3.85E-04
16.13,9.26E-02,1.37E-03,4.86E-02,6.58E-04
16.18,0.104,2.22E-03,5.00E-02,8.41E-04
16.23,0.112,3.28E-03,5.05E-02,8.64E-04
16.281,0.118,3.63E-03,4.96E-02,7.53E-04
16.331,0.12,4.27E-03,4.77E-02,8.49E-04
16.382,0.12,4.02E-03,4.45E-02,7.45E-04
16.432,0.118,3.99E-03,4.05E-02,2.93E-04
